,Clean_Text,place.country,coordinates,compound,type
3915,global read aloud with alangratzs refugee going down today at wms reading annotating discussing across the globe with other students though flipgrid does it get better than this gra2018 grarefugee wredlingreads wredlingrocks ,United States,"[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]",0.4404,Positive
3916,the trump administration knows the planet is going to boil it doesnt care  bill mckibben ,United States,"[[-77.027505, 39.082526], [-76.953379, 39.082526], [-76.953379, 39.138719], [-77.027505, 39.138719]]",-0.3875,Negative
3923,thank you jra for this amazing piece of a reminding me that ive came a long way from the lil refugee kid in the 80s big up my mom for choosing freedom way before the reunion ,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",0.9042,Positive
3925,siestakey4me kevinmatras geraldorivera realdonaldtrump potus you might be right but let me ask does it compare to the terror of being exterminated in the womb  theres enormous hypocrisy on the left here as you cannot cry about the refugee children if youre ok with the genocide of the unborn simply cannot,United States,"[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]",0.1358,Positive
3930,greggmashberg in a refugee conference homs syria 7151957 resolution any discussion aimed at solution of palestine problem that is not based on ensuring the refugees right to annihilate israel will be regarded as desecration of the arab people amp act of treason,United States,"[[-71.160356, 42.352429], [-71.064398, 42.352429], [-71.064398, 42.4039663], [-71.160356, 42.4039663]]",-0.6266,Negative
3934,young progressive women like wazirnh are fighting back against antiimmigrant sentiments by doing more than just voting they are stepping up to run for officelets vote against xenophobia in november amp vote for a new generation of leaders nhpolitics,United States,"[[-71.622585, 43.159703], [-71.462538, 43.159703], [-71.462538, 43.295436], [-71.622585, 43.295436]]",0.0,Neutral
3936,us and europe pay huge sums of development aid to palestinians who per capita receive about as much assistance as all other worldwide group of refugees put together in past 70 years palestinians received 13 of all un refugee funds ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.2263,Positive
3940,so proud of my friend kirstikauppi not only she is a great representative of her country she also suppos the best causes as someone who was a refugee once thank you  finland ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.9545,Positive
3941,terrorists must be held to account for their crimes amp there can be no impunity we must equally ensure that all counteerrorism measures are carried out in accordance with international law including humanrights humanitarian amp refugee law ,United States,"[[-74.255641, 40.495865], [-73.699793, 40.495865], [-73.699793, 40.91533], [-74.255641, 40.91533]]",-0.5719,Negative
3942,the only way we can build a strong country if we look after our forgotten abused and enslaved as united states director of the refugee international network of peace rinp i am looking for strong men and womenas our country may struggle with decisions,United States,"[[-74.025285, 41.107441], [-73.943839, 41.107441], [-73.943839, 41.192559], [-74.025285, 41.192559]]",0.5719,Positive
3946,you mean like the central park 5 or every refugee that comes to this country or do you miss the irony or your comment ,United States,"[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]",0.1779,Positive
3949,meangirlsday today let today serve as a reminder that we deserve better than a lindsay who punches refugee mothers in the face and supreme cou nominees with no emotional regulation ,United States,"[[-116.374494, 43.510172], [-116.101508, 43.510172], [-116.101508, 43.685894], [-116.374494, 43.685894]]",0.7096,Positive
3951,we have to defend our civilisation babi explains his intransigent attitude in the eu quarrel over refugee quotas czechrepublic ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
3952,secpompeo the trump admins intent to cap refugee admissions to the us at 30000 in fy2019 betrays americas history values amp global leadership a response thats propoional to need should be the 125000 that president obama targeted refugeeswelcome ,United States,"[[-73.244348, 41.141738], [-73.153889, 41.141738], [-73.153889, 41.229611], [-73.244348, 41.229611]]",-0.2023,Negative
3953,the trump administration knows the planet is going to boil it doesnt care  bill mckibben ,United States,"[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]",-0.3875,Negative
3954,things are so bad in venezuela that women are fleeing the country to give bih via karlazabs,United States,"[[-118.017789, 33.788913], [-117.684389, 33.788913], [-117.684389, 33.896813], [-118.017789, 33.896813]]",-0.6696,Negative
3955,pull a copy or two of ghost boys and refugee for me ,United States,"[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]",-0.3182,Negative
3959,medal known as nobel for mathematics stolen minutes after awarded to refugee via cbsnews,United States,"[[-122.2232093, 47.5349648], [-122.076327, 47.5349648], [-122.076327, 47.660748], [-122.2232093, 47.660748]]",0.3818,Positive
3962,refugee admissions in first fiscal year of trump administration lowest in history of program via breitbanews,United States,"[[-84.397199, 39.162538], [-84.344746, 39.162538], [-84.344746, 39.205986], [-84.397199, 39.205986]]",-0.3818,Negative
3973,the trump administration knows the planet is going to boil it doesnt care  bill mckibben ,United States,"[[-77.287868, 38.893115], [-77.119901, 38.893115], [-77.119901, 38.981856], [-77.287868, 38.981856]]",-0.3875,Negative
3974,the cabrini sisters with others are opening 2 homes in rome to care for refugee and migrant mothers and children at a time when heas are closing to these vulnerable people the spirit of st frances cabrini teaches us how to welcome the stranger ,United States,"[[-75.4780225, 40.0604], [-75.437322, 40.0604], [-75.437322, 40.082366], [-75.4780225, 40.082366]]",0.7184,Positive
3978,lindsay lohans friends and family want her back in the us following bizarre refugee video exclu via yahooent,United States,"[[-83.288056, 42.255085], [-82.91052, 42.255085], [-82.91052, 42.450488], [-83.288056, 42.450488]]",0.2732,Positive
3984,newsweek we dont care she should do her work at home first with the separated refugee children,United States,"[[-74.012435, 40.260557], [-73.974657, 40.260557], [-73.974657, 40.328156], [-74.012435, 40.328156]]",-0.3875,Negative
3993,self defeating cruel amp counterproductive american refugee policy in 2018 is abandoning those who helped us in the past for a pitiful handful of votes there is no honor in this vote2018 ,United States,"[[-122.474087, 37.862147], [-122.456761, 37.862147], [-122.456761, 37.884196], [-122.474087, 37.884196]]",-0.8807,Negative
4009,mrsmahercore michelleciecek principalctms tusdschools tustineducators i am reading it with most of my 6th grade classes and one so far of our 7th grade classes  love refugee and this oppounity to connect through literature wearetusd tusdthrives,United States,"[[-117.86894, 33.606077], [-117.695781, 33.606077], [-117.695781, 33.773387], [-117.86894, 33.773387]]",0.6369,Positive
4010,suhasinih india is not a refugee camp let unsg prevail upon myanmar to take back rohingyas or any other muslim country we have already the residue of pakistan to deal with rohingya,United States,"[[-77.5458778, 38.887183], [-77.473381, 38.887183], [-77.473381, 38.938016], [-77.5458778, 38.938016]]",0.0,Neutral
4011,napoleonlegal i drive through lancaster often down back roads amp buy from amish farmswatching this i cried because lancaster was proudly labeled refugee capital of the world amp i fear for the amish therethe treatment in that movie is tame to what faces them today,United States,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]",-0.3818,Negative
4015,despite the trump administrations recent decision to reduce us refugee resettlement numbers to the lowest level since the program began in 1980 we are currently witnessing the highest levels of forcibly displaced people on record,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",-0.3818,Negative
4018,crowcougars hope your 6th graders got to read or are reading refugee love the sketchnotes jenruby4 ,United States,"[[-97.078573, 32.563973], [-96.943763, 32.563973], [-96.943763, 32.747383], [-97.078573, 32.747383]]",0.7964,Positive
4020,do you want to learn more about forced migration check out oxford universitys refugee studies center refugeestudies and the forced migration review fmreview,United States,"[[-117.7508068, 34.0794765], [-117.6815385, 34.0794765], [-117.6815385, 34.1585563], [-117.7508068, 34.1585563]]",-0.7397,Negative
4021,jesselash i get the intent truly but the idea that the majority of men have malicious intent is alarming snakes is a brutal image even if theyre good snakes interestingly enough i liken it to the refugee debate let many in knowing some will be bad apples and deal accordingly,United States,"[[-80.20811, 26.080935], [-80.0902351, 26.080935], [-80.0902351, 26.219801], [-80.20811, 26.219801]]",-0.5859,Negative
4022,sgsherman63 kaellis theatlantic beyond a miracle so pray theres probably not much that can be done at this point but it would be good to reach out to your representative and senators offices and ask them to convey to the white house your concern over the decline in refugee resettlement,United States,"[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]",0.8124,Positive
4028,bigfeet4me we need the other pay as a check on the executive branch aka the individual aka trump we cannot continue having all three branches of government controlled by the same pay that gave billionaires tax cuts and put refugee children in cages i understand your thinking though,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",-0.4588,Negative
4030,that isnt his fault he didnt make the myth america did over many generations trump is just the return on that corrupt investment in white supremacy i just dont want to hear anymore about a poor person a refugee a black woman being a threat when the real threat is potus,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.8255,Negative
4031,eireseeker lovetocamp4 kmeagle bobbybetke flotus no maam you are wrong  it is up to them if a refugee from nicaragua wants to take the dangerous journey through honduras el salvador guatemala amp mexico to make it to the usa that is their decision to make if they choose not to file in mexico it is their choice to make,United States,"[[-80.235287, 32.944965], [-80.109533, 32.944965], [-80.109533, 33.054993], [-80.235287, 33.054993]]",-0.8126,Negative
4033,my family went on carcamping trips to us national parks a very american thing to do  both my parents are immigrants im a refugee yells mom from across the continentthe voyages issue how do families around the world spend their vacations ,United States,"[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]",0.0,Neutral
